id,aplica_a,criterio,como_verificar,critico,automatizable,regla_script
S-01,Solicitud,"[REQ] con datos completos y aprobación cuando aplica (accesos, conciliaciones)",Seguimiento [REQ],No,Semi,[REQ] con 'Aprobación:' no vacío
S-02,Solicitud,[EJEC] con evidencia de la ejecución,Seguimiento/tarea [EJEC],No,Semi,[EJEC] con 'Evidencia:' no vacío
P-01,Crítico P1,"[P1-INICIO] con hora de detección, afectación y avisos",Seguimiento [P1-INICIO],No,Semi,Etiqueta + 'Detección:' y 'Aviso:' no vacíos
P-02,Crítico P1,[P1-ACT] cada 60 min o menos hasta restablecer,Fechas de [P1-ACT],Sí,Auto,Intervalo máximo entre notas P1 ≤ 60 min hasta [P1-RESTABLECIDO]
P-03,Crítico P1,"[P1-CIERRE] con duración, impacto, causa y prevención",Seguimiento [P1-CIERRE],No,Semi,Etiqueta + 'Impacto:' y 'CAUSA:' presentes
P-04,Crítico P1,Revisión posterior en ≤ 2 días hábiles (o Problema vinculado),Problema GLPI / acta,No,Semi,Problem_Ticket vinculado o fecha de revisión registrada
W-01,En espera externa,"[ESPERA] indica qué se pidió, a quién, por qué canal y fecha de recordatorio",Seguimiento [ESPERA],No,Semi,Etiqueta + 'Qué:' y 'Recordatorio:'
W-02,En espera externa,Recordatorios a las 24 h y 48 h,Fechas de [RECORDATORIO],No,Auto,Intervalos entre [ESPERA] y recordatorios ≤ 26 h
W-03,En espera externa,Cierre sin respuesta avisado al usuario,[CIERRE-SIN-RESPUESTA],No,Semi,Etiqueta presente si se cerró sin respuesta
C-01,Cambio/despliegue,"[CAMBIO-PLAN] con aprobación, versión anterior→nueva, alcance y reversión",Seguimiento [CAMBIO-PLAN],No,Semi,"Etiqueta + 'Aprobó:', 'Versión:', 'Reversión:'"
C-02,Cambio/despliegue,Ejecutado dentro de ventana (lun–jue antes de 16:00) o con excepción aprobada,Hora del [CAMBIO-EJEC],Sí,Auto,Fecha/hora de ejecución vs ventana y festivos
C-03,Cambio/despliegue,[CAMBIO-EJEC] con verificación posterior y estado,Seguimiento [CAMBIO-EJEC],No,Semi,Etiqueta + 'Verificación:'
A-01,Actividad programada,[ACT] con resultado explícito (sin novedad / hallazgo),Seguimiento [ACT],No,Semi,'Resultado:' no vacío
A-02,Actividad programada,Hallazgo con incidente nuevo referenciado,N.º de ticket en [ACT],No,Semi,Si 'hallazgo' → contiene '#\d+'
